Name,Population,Population II,Male Population,Drive to Work - Solo Driver,Public Transportation,Work from Home,Median Income,Zipcode
ZCTA5 01001,17621,,,7887,80,249,33364,1001
ZCTA5 01002,30066,,,8179,1542,1365,28605,1002
ZCTA5 01003,11238,,,536,91,587,4336,1003
ZCTA5 01005,4991,,,1880,0,422,37595,1005
ZCTA5 01007,14967,,,6950,50,365,42807,1007
ZCTA5 01008,1197,,,522,0,57,39313,1008
ZCTA5 01009,249,,,155,0,0,39972,1009
ZCTA5 01010,3739,,,1665,0,88,36634,1010
ZCTA5 01011,1448,,,639,0,31,29313,1011
ZCTA5 01012,560,,,232,0,32,39821,1012
ZCTA5 01013,23065,,,8660,157,401,24680,1013
ZCTA5 01020,30097,,,13373,98,139,30652,1020
ZCTA5 01022,2499,,,902,8,11,30826,1022
ZCTA5 01026,954,,,327,9,45,31786,1026
ZCTA5 01027,17848,,,8312,208,553,36047,1027
ZCTA5 01028,16200,,,6352,58,325,36953,1028
ZCTA5 01029,651,,,303,0,36,36786,1029
ZCTA5 01030,11123,,,5274,0,208,37236,1030
ZCTA5 01031,1197,,,472,0,22,27647,1031
ZCTA5 01032,533,,,252,4,16,42727,1032
ZCTA5 01033,6333,,,3145,25,138,41854,1033
ZCTA5 01034,2179,,,970,8,78,39673,1034
ZCTA5 01035,5310,,,2116,4,241,31507,1035
ZCTA5 01036,5191,,,2245,9,75,36913,1036
ZCTA5 01037,798,,,240,0,31,42000,1037
ZCTA5 01038,2867,,,1335,13,90,37361,1038
ZCTA5 01039,1042,,,491,5,58,43365,1039
ZCTA5 01040,40376,,,12928,282,686,22495,1040
ZCTA5 01050,2422,,,1168,0,78,35797,1050
ZCTA5 01053,1702,,,583,16,57,31667,1053
ZCTA5 01054,1983,,,782,2,143,39722,1054
ZCTA5 01056,21336,,,9147,64,179,35495,1056
ZCTA5 01057,8745,,,4174,0,190,38863,1057
ZCTA5 01060,15779,,,4955,248,1011,30470,1060
ZCTA5 01062,10495,,,3865,58,384,35307,1062
ZCTA5 01063,592,,,23,12,62,4058,1063
ZCTA5 01068,1840,,,819,0,50,37712,1068
ZCTA5 01069,8698,,,3972,0,190,30604,1069
ZCTA5 01070,604,,,246,3,46,28000,1070
ZCTA5 01071,1270,,,539,0,43,36439,1071
ZCTA5 01072,1536,,,663,0,67,43155,1072
ZCTA5 01073,6140,,,2875,0,284,42102,1073
ZCTA5 01074,548,,,280,0,27,28902,1074
ZCTA5 01075,17763,,,6736,106,507,30720,1075
ZCTA5 01077,9727,,,4050,14,286,36819,1077
ZCTA5 01079,658,,,334,0,0,30064,1079
ZCTA5 01080,2802,,,959,0,6,26161,1080
ZCTA5 01081,1941,,,844,0,49,30217,1081
ZCTA5 01082,10586,,,4220,1,125,32584,1082
ZCTA5 01083,2986,,,1257,0,132,31643,1083
ZCTA5 01084,174,,,67,0,13,27153,1084
ZCTA5 01085,41942,,,18178,115,995,31196,1085
ZCTA5 01086,372,,,18,0,16,4583,1086
ZCTA5 01088,416,,,202,0,0,29028,1088
ZCTA5 01089,28666,,,11858,209,505,29611,1089
ZCTA5 01092,1425,,,697,0,0,50398,1092
ZCTA5 01093,283,,,166,0,7,35000,1093
ZCTA5 01094,282,,,72,0,5,19549,1094
ZCTA5 01095,14690,,,6651,34,317,39350,1095
ZCTA5 01096,2695,,,1271,3,114,36399,1096
ZCTA5 01097,59,,,14,0,0,19875,1097
ZCTA5 01098,1196,,,539,4,93,46513,1098
ZCTA5 01103,2389,,,581,97,48,13339,1103
ZCTA5 01104,23876,,,6771,544,246,21229,1104
ZCTA5 01105,11957,,,2142,374,41,13736,1105
ZCTA5 01106,16022,,,6166,31,585,50381,1106
ZCTA5 01107,11582,,,2168,284,178,14315,1107
ZCTA5 01108,27850,,,8420,650,317,23945,1108
ZCTA5 01109,29903,,,7792,500,432,16580,1109
ZCTA5 01118,14980,,,6060,51,199,33520,1118
ZCTA5 01119,13626,,,4569,20,188,22854,1119
ZCTA5 01128,2672,,,1065,8,47,30696,1128
ZCTA5 01129,6762,,,3008,0,73,34252,1129
ZCTA5 01151,8807,,,2858,119,84,23569,1151
ZCTA5 01201,44607,,,18015,375,606,29308,1201
ZCTA5 01220,8209,,,3399,13,192,29955,1220
ZCTA5 01222,810,,,317,0,36,34770,1222
ZCTA5 01223,2402,,,1078,0,106,35409,1223
ZCTA5 01224,210,,,77,17,0,38136,1224
ZCTA5 01225,3135,,,1480,0,31,31443,1225
ZCTA5 01226,6782,,,2968,19,337,31764,1226
ZCTA5 01229,70,,,13,0,0,14605,1229
ZCTA5 01230,8542,,,2876,20,319,31384,1230
ZCTA5 01235,2640,,,1345,4,60,35089,1235
ZCTA5 01236,1140,,,390,0,154,28914,1236
ZCTA5 01237,2580,,,1071,0,118,38972,1237
ZCTA5 01238,5903,,,2480,15,146,31926,1238
ZCTA5 01240,4441,,,1382,0,351,40930,1240
ZCTA5 01242,471,,,189,0,32,32105,1242
ZCTA5 01243,257,,,131,0,16,34583,1243
ZCTA5 01245,809,,,267,0,80,41719,1245
ZCTA5 01247,15573,,,5407,89,182,24385,1247
ZCTA5 01253,672,,,208,5,59,41964,1253
ZCTA5 01254,1014,,,354,0,79,40217,1254
ZCTA5 01255,972,,,362,0,60,31198,1255
ZCTA5 01256,719,,,339,0,17,31103,1256
ZCTA5 01257,2003,,,768,0,113,34913,1257
ZCTA5 01258,489,,,188,0,37,27500,1258
ZCTA5 01259,528,,,197,0,19,39286,1259
ZCTA5 01262,1066,,,214,0,187,24599,1262
ZCTA5 01264,196,,,63,0,10,32833,1264
ZCTA5 01266,1369,,,578,3,124,31886,1266
ZCTA5 01267,7955,,,1856,24,224,35996,1267
ZCTA5 01270,770,,,395,0,13,41932,1270
ZCTA5 01301,17713,,,6899,44,553,31238,1301
ZCTA5 01330,1367,,,589,10,91,36473,1330
ZCTA5 01331,13383,,,4896,68,214,28969,1331
ZCTA5 01337,2498,,,1113,0,69,37123,1337
ZCTA5 01338,127,,,61,0,0,25962,1338
ZCTA5 01339,1428,,,470,2,43,26890,1339
ZCTA5 01340,1808,,,685,5,66,29194,1340
ZCTA5 01341,1836,,,749,3,152,43250,1341
ZCTA5 01342,1439,,,365,7,35,32885,1342
ZCTA5 01343,45,,,15,0,0,34167,1343
ZCTA5 01344,1459,,,582,15,14,31368,1344
ZCTA5 01346,427,,,182,0,17,30250,1346
ZCTA5 01347,175,,,94,0,0,40750,1347
ZCTA5 01349,1292,,,553,46,5,31569,1349
ZCTA5 01350,91,,,38,0,1,23125,1350
ZCTA5 01351,2099,,,1066,7,57,41250,1351
ZCTA5 01354,1608,,,623,0,158,39792,1354
ZCTA5 01355,949,,,367,0,31,37404,1355
ZCTA5 01360,2997,,,1287,0,33,36993,1360
ZCTA5 01364,7785,,,2641,25,203,25651,1364
ZCTA5 01366,1269,,,478,0,59,31042,1366
ZCTA5 01367,595,,,193,0,23,23906,1367
ZCTA5 01368,1170,,,537,0,6,36950,1368
ZCTA5 01370,4041,,,1546,0,152,30351,1370
ZCTA5 01373,4634,,,1997,50,179,41250,1373
ZCTA5 01375,3659,,,1635,399,27,37413,1375
ZCTA5 01376,5123,,,1791,30,210,27036,1376
ZCTA5 01378,773,,,291,0,41,35188,1378
ZCTA5 01379,830,,,286,5,39,24500,1379
ZCTA5 01420,40737,,,13919,322,593,26996,1420
ZCTA5 01430,6253,,,2803,0,212,44296,1430
ZCTA5 01431,3215,,,1512,0,103,42699,1431
ZCTA5 01432,7762,,,4112,0,123,51528,1432
ZCTA5 01434,1875,,,143,0,32,21642,1434
ZCTA5 01436,3392,,,1509,0,13,31732,1436
ZCTA5 01438,711,,,140,0,0,48138,1438
ZCTA5 01440,20555,,,7538,86,414,30071,1440
ZCTA5 01450,11301,,,4404,0,495,53049,1450
ZCTA5 01451,4625,,,1726,0,327,61250,1451
ZCTA5 01452,4642,,,2202,0,159,40691,1452
ZCTA5 01453,41579,,,16980,68,983,32133,1453
ZCTA5 01460,9935,,,4242,0,428,49161,1460
ZCTA5 01462,11271,,,4952,0,392,43562,1462
ZCTA5 01463,12083,,,5492,12,462,42170,1463
ZCTA5 01464,7598,,,2549,0,178,36036,1464
ZCTA5 01468,4024,,,2206,0,39,39489,1468
ZCTA5 01469,7632,,,3605,1,159,41329,1469
ZCTA5 01473,7665,,,3567,78,181,46622,1473
ZCTA5 01474,1823,,,768,0,105,33711,1474
ZCTA5 01475,10798,,,4644,12,191,34141,1475
ZCTA5 01501,16549,,,7625,14,275,40899,1501
ZCTA5 01503,3144,,,1399,0,70,36736,1503
ZCTA5 01504,9246,,,4798,0,159,40182,1504
ZCTA5 01505,4581,,,2021,0,222,43832,1505
ZCTA5 01506,3431,,,1550,0,110,42008,1506
ZCTA5 01507,13482,,,6013,16,400,45088,1507
ZCTA5 01510,13899,,,6287,0,306,34191,1510
ZCTA5 01515,2159,,,982,5,72,40338,1515
ZCTA5 01516,8794,,,4227,0,270,37967,1516
ZCTA5 01518,3919,,,1403,0,236,32761,1518
ZCTA5 01519,6741,,,3044,12,273,42302,1519
ZCTA5 01520,15645,,,7319,0,393,50288,1520
ZCTA5 01521,2539,,,1073,0,39,39276,1521
ZCTA5 01522,3176,,,1370,0,54,41929,1522
ZCTA5 01523,7749,,,2973,0,241,44773,1523
ZCTA5 01524,6902,,,3225,9,164,31972,1524
ZCTA5 01525,400,,,179,0,0,35625,1525
ZCTA5 01527,13630,,,5936,5,226,37267,1527
ZCTA5 01529,3242,,,1486,21,82,37209,1529
ZCTA5 01531,1298,,,500,3,61,43542,1531
ZCTA5 01532,14985,,,6871,20,802,52253,1532
ZCTA5 01534,6311,,,3018,0,211,42943,1534
ZCTA5 01535,4764,,,2169,41,92,34881,1535
ZCTA5 01536,7786,,,3242,0,259,45943,1536
ZCTA5 01537,2289,,,1167,1,31,32444,1537
ZCTA5 01540,11484,,,5416,34,83,37671,1540
ZCTA5 01541,3443,,,1555,0,183,54318,1541
ZCTA5 01542,2314,,,959,0,49,40684,1542
ZCTA5 01543,8586,,,4229,0,293,46769,1543
ZCTA5 01545,36666,,,15689,93,916,48659,1545
ZCTA5 01550,16894,,,6243,23,293,26121,1550
ZCTA5 01560,4401,,,1816,0,129,42981,1560
ZCTA5 01561,294,,,164,0,0,30727,1561
ZCTA5 01562,11913,,,5422,14,246,31775,1562
ZCTA5 01564,8052,,,3473,14,298,42099,1564
ZCTA5 01566,5618,,,2305,25,251,40715,1566
ZCTA5 01568,7762,,,3398,0,255,55092,1568
ZCTA5 01569,13939,,,6840,0,316,42964,1569
ZCTA5 01570,16971,,,6685,10,451,32168,1570
ZCTA5 01571,11682,,,4822,10,315,31427,1571
ZCTA5 01581,18982,,,7294,0,634,54009,1581
ZCTA5 01583,7676,,,2332,0,114,36635,1583
ZCTA5 01585,4574,,,1880,23,62,35070,1585
ZCTA5 01588,9775,,,4205,0,230,34201,1588
