,ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,CNT_FAM_MEMBERS,SUM,APPROVAL
0,0,1,1,1,0,226,4,1,0,4,5609,1005,0,1,1,3,1
1,1,1,1,1,0,226,4,1,0,4,5609,1005,0,1,1,3,1
2,2,1,1,1,0,77,4,4,1,1,1049,2845,0,0,1,7,0
3,3,0,0,1,0,192,0,4,3,1,2073,1631,0,0,0,2,1
4,4,0,0,1,0,192,0,4,3,1,2073,1631,0,0,0,0,1
5,5,0,0,1,0,192,0,4,3,1,2073,1631,0,0,0,6,0
6,6,0,0,1,0,192,0,4,3,1,2073,1631,0,0,0,6,0
7,7,0,0,1,0,195,1,1,2,1,623,3639,0,0,0,14,0
8,8,0,0,1,0,195,1,1,2,1,623,3639,0,0,0,14,0
9,9,0,0,1,0,195,1,1,2,1,623,3639,0,0,0,14,0
10,10,1,1,1,0,192,4,1,1,1,3108,3112,0,1,1,6,0
11,26019,1,1,1,0,192,4,1,1,1,3108,3112,0,1,1,35,0
12,11,1,1,1,0,104,0,4,1,1,2685,2803,0,0,1,0,1
13,12,1,1,1,0,104,0,4,1,1,2685,2803,0,0,1,1,1
14,13,1,1,1,0,104,0,4,1,1,2685,2803,0,0,1,6,0
15,14,1,1,1,0,104,0,4,1,1,2685,2803,0,0,1,1,1
16,15,1,1,1,0,104,0,4,1,1,2685,2803,0,0,1,4,1
17,16,1,1,1,0,104,0,4,1,1,2685,2803,0,0,1,4,1
18,17,0,1,0,0,97,4,2,1,1,6293,2866,0,0,1,27,0
19,18,0,1,0,0,97,4,2,1,1,6293,2866,0,0,1,19,0
20,20,0,0,1,0,120,4,4,1,1,6627,2602,0,0,1,17,0
21,21,0,0,1,0,120,4,4,1,1,6627,2602,0,0,1,17,0
22,22,0,0,1,0,120,4,4,1,1,6627,2602,0,0,1,17,0
23,23,0,0,1,1,77,4,4,3,1,6138,2501,0,0,1,5,0
