date,dota_2,counter_strike,terraria,postal,gta,fallout_4,life_is_strange,battlegrounds,hitman_2,among_us
1/1/2019,630381,577546,30825,9,105875,25257,272,986759,7354,18
1/2/2019,653543,617293,29696,10,104300,21224,230,988726,5703,16
1/3/2019,645297,614938,29331,9,102460,20530,215,978611,5949,23
1/4/2019,679515,648525,32569,7,111765,20679,215,1037423,5923,19
1/5/2019,731384,671521,38075,11,118732,23563,172,1091897,9705,21
1/6/2019,698277,667843,38908,8,110518,24175,189,1053933,5582,20
1/7/2019,669920,619371,31952,6,89989,18266,137,970440,4121,24
1/8/2019,654147,604350,28315,6,86862,16797,132,972455,2996,9
1/9/2019,631040,598055,26206,7,81376,16390,104,973687,3068,13
1/10/2019,633023,601609,25344,8,78989,16199,100,958155,2799,14
1/11/2019,695608,649360,28129,7,89223,17091,115,1002374,3376,6
1/12/2019,779866,687299,37147,7,103999,21782,154,1069995,3525,19
1/13/2019,762186,657620,36294,11,99759,22854,147,1051360,3832,13
1/14/2019,714087,596411,26989,7,72712,16900,120,975754,2660,18
1/15/2019,677102,595994,24452,4,72747,15419,155,973809,2417,10
1/16/2019,675936,598740,23856,7,71187,15195,162,962822,2329,14
1/17/2019,688226,600970,23653,8,70819,15259,149,955166,2427,6
1/18/2019,726421,637700,27415,8,77626,16012,167,978083,2389,10
1/19/2019,804664,663631,37996,6,91587,20566,193,1022828,2909,16
1/20/2019,796605,665934,39469,7,91149,22355,224,1027389,3169,14
1/21/2019,724212,620408,36377,8,69396,18597,170,933529,2903,9
1/22/2019,730332,607583,29107,7,71580,15475,154,911478,2550,11
1/23/2019,735642,619365,26583,6,74310,15061,203,929388,2639,7
1/24/2019,735486,612605,25389,5,72371,14808,5204,891518,2762,13
1/25/2019,734448,644652,27988,7,76901,15368,2990,884575,2833,14
1/26/2019,840712,682297,37246,7,89756,19614,2441,935053,3180,21
1/27/2019,839729,668664,37028,5,92903,21041,1995,947041,3355,39
1/28/2019,766446,603970,28700,7,71408,15637,1200,875550,2315,14
1/29/2019,762357,621303,25334,7,67401,15185,999,787343,2279,13
1/30/2019,881256,622533,26766,5,68021,15594,827,797040,2359,21
1/31/2019,829519,621355,25582,7,67127,15119,681,800279,2253,12
2/1/2019,830562,628397,25455,4,70863,15021,737,793914,2334,11
2/2/2019,905794,651044,34187,8,83079,19253,778,809999,2991,21
2/3/2019,913496,656097,34218,10,86818,20726,777,787925,3031,20
2/4/2019,810070,593481,24461,8,64041,15010,473,558470,2019,20
2/5/2019,809825,571128,22496,9,65559,14553,501,662762,2972,10
2/6/2019,796298,570858,22577,8,75627,14477,441,690666,2222,10
2/7/2019,807572,571388,22630,8,81759,14497,385,709172,2292,14
2/8/2019,836728,607871,24109,9,92488,14853,437,747664,2697,12
2/9/2019,911025,630610,33788,11,111122,19328,526,804030,3383,24
2/10/2019,930430,614597,33366,8,120401,20743,582,852355,3664,27
2/11/2019,859462,543314,24175,11,99552,15565,364,835490,2511,22
